Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
3 jewish students sue new york university over antisemitism response,11/15/2023,CNN,8
3 maryland middle-schoolers charged with antisemitic hate crime,3/25/2024,Washington Post,8
3 more college leaders to face congress over antisemitism claims,5/22/2024,New York Times,8
3 questions from dhs' visit,10/12/2023,Politico,8
4 takeaways as school leaders battle charges of tolerating antisemitism,5/8/2024,New York Times,8
4 takeaways from the hearing on antisemitism at columbia university,4/17/2024,New York Times,8
5 takeaways from college antisemitism hearing,12/6/2023,Politico,8
5 takeaways from the columbia university antisemitism hearing,4/17/2024,Politico,8
5 takeaways from the latest hearing on campus antisemitism,5/23/2024,New York Times,8
"5 things to know for dec 1: israel, trump trial, lead pipes, climate, tiktok ban",12/1/2023,CNN,8
"5 things to know for dec 13: ukraine, israel, climate deal, presidential race, toy safety",12/13/2023,CNN,8
"5 things to know for dec 7: presidential debate, las vegas shooting, israel, foreign aid, cigarettes",12/7/2023,CNN,8
"5 things to know for jan 3: tokyo plane crash, presidential race, israel, harvard, border crisis",1/3/2024,CNN,8
"5 things to know for march 6: primaries, gaza, ukraine, tech companies, harvard",3/6/2024,CNN,8
"5 things to know for nov 1: israel, antisemitism, maine shootings, health care, italy floods",11/1/2023,CNN,8
"5 things to know for nov 17: trump agenda, israel, safe schools, george santos, apple",11/17/2023,CNN,8
"5 things to know for oct 18: israel, jim jordan, economy, ukraine, self-driving vehicles",10/18/2023,CNN,8
6 months and a swirl of controversy: a timeline of claudine gay’s tenure as harvard president,12/21/2023,New York Times,8
"6-year-old boy fatally stabbed in anti-muslim attack, authorities say",10/15/2023,New York Times,8
73% of jewish college students report antisemitism on campus this school year: adl,11/29/2023,Axios,8
9 new books we recommend this week,12/21/2023,New York Times,8
a biden ally explains her cease-fire call,2/6/2024,Politico,8
a biden donor calls it quits,12/6/2023,Politico,8
a big day in the budget cut fight,12/11/2023,Politico,8
a bill could withhold funding for schools that fail to restrict antisemitism on campus,5/7/2024,New York Times,8
a bipartisan response to campus antisemitism,1/23/2024,Washington Post,8
a brief history of an tisemitism in us higher education: what one wave of it a century ago created,11/13/2023,Washington Post,8
a california judge is under investigation for alleged antisemitism and ethical violations,2/16/2024,AP News,8
"a climate conference’s startling, self-defeating contradictions",12/8/2023,New York Times,8
a collection of narratives on the israel-hamas war,10/19/2023,Atlantic,8
a devastating attack by hamas,10/7/2023,Atlantic,8
a doctor who left russia remembers the pain of antisemitism,11/25/2023,New York Times,8
a french politician refuses to be silent in the face of antisemitism,11/22/2023,New York Times,8
a guaranteed vote for parental leave,11/29/2023,Politico,8
a high-stakes inflation report for washington and wall street,11/14/2023,New York Times,8
a historic cataclysm in the middle east,10/7/2023,Atlantic,8
a history of the plagiarism allegations against claudine gay,1/2/2024,New York Times,8
a house committee will examine reports of antisemitism in k-12 schools,5/7/2024,New York Times,8
a knife fight in a phone booth,11/7/2023,Atlantic,8
a lawsuit in brooklyn over antisemitism has raised many questions,5/8/2024,New York Times,8
a lot still needs to change',12/11/2023,USATODAY,8
a man is charged with threatening to kill a nevada senator he accused of complicity in palestinian deaths,10/30/2023,New York Times,8
a message from iran,10/8/2023,Atlantic,8
a moral case against the israeli hostage deal,11/22/2023,Atlantic,8
a new abortion rights strategy,12/12/2023,Politico,8
a new playbook for college donors,12/13/2023,New York Times,8
a north carolina man is charged with mailing an antisemitic threat to a georgia rabbi,5/2/2024,AP News,8
a norwegian official fought plagiarism then she was caught copying,1/25/2024,New York Times,8
"a palestinian baby girl, born 17 days ago during gaza war, is killed with brother in israeli strike",12/20/2023,AP News,8
a paralyzed house complicates biden’s plans for israel,10/21/2023,Atlantic,8
a problem with a possible santos successor,12/6/2023,Politico,8
a quiet campus,11/2/2023,Politico,8
a race centered on israel,10/31/2023,Politico,8
a reckoning for the left after antisemitic incidents,6/14/2024,Politico,8
"a record of pure, predatory sadism",10/23/2023,Atlantic,8
a rising democrat leans into the campus fight over antisemitism,5/11/2024,New York Times,8
a shocked and frazzled collective mind,10/8/2023,Atlantic,8
a speaker without enemies—for now,10/25/2023,Atlantic,8
a stanford university instructor has been removed from the classroom amid reports they called jewish students colonizers and downplayed the holocaust,10/13/2023,CNN,8
a surge in antisemitism in europe — and what’s behind it,11/2/2023,New York Times,8
a timeline of how the israel-hamas war has roiled college campuses,12/12/2023,New York Times,8
a top jewish group in switzerland slams an antisemitic sign purportedly by a local ski rental stand,2/12/2024,AP News,8
a very sexy topic’ at somos,11/9/2023,Politico,8
academic freedom or antisemitism?,2/28/2024,USATODAY,8
"adams to dc, take two",12/8/2023,Politico,8
adams’ 28 percent,12/7/2023,Politico,8
adl antisemitism report card gives top schools failing grades,4/11/2024,USATODAY,8
"adl records more than 3,200 antisemitic incidents since start of israel-hamas war",1/11/2024,CNN,8
adl says antisemitic cases have surged since oct 7 hamas attack in israel,10/25/2023,Axios,8
adl says antisemitic incidents in us surged 140% in 2023,4/16/2024,Axios,8
adl: antisemitic incidents hit record a year since oct 7,10/6/2024,Axios,8
advertisers flee x as outcry over musk’s endorsement of antisemitic post grows,11/17/2023,New York Times,8
advertisers push back at social media firms over antisemitism,11/17/2023,New York Times,8
affirmative action is under attack how did we get here?,3/9/2024,Washington Post,8
"after a year of turmoil, harvard’s applications drop",3/29/2024,New York Times,8
"after affirmative action ban, they rewrote college essays with a key theme: race",1/20/2024,New York Times,8
"after antisemitic attacks, colleges debate what kind of speech is out of bounds",11/9/2023,New York Times,8
"after antisemitic attacks, colleges debate what speech is out of bounds",11/11/2023,New York Times,8
"after antisemitic threats, cornell university cancels classes on friday",11/2/2023,New York Times,8
"after cautious criticism by biden, netanyahu rallies israel’s right wing",12/13/2023,Washington Post,8
"after harvard and penn resignations, who wants to be a college president?",1/12/2024,Washington Post,8
"after stalling in 2023, a bill to define antisemitism in state law is advancing in georgia",5/6/2024,AP News,8
"after turmoil, harvard students return to a changed campus",2/4/2024,Washington Post,8
"after writing an anti-israel letter, harvard students are doxxed",10/18/2023,New York Times,8
against barbarism,10/12/2023,Atlantic,8
"ai questions, answered",1/4/2024,New York Times,8
"ailing pope francis meets with european rabbis and condemns antisemitism, terrorism, war",11/6/2023,AP News,8
aipac ramps up attack on jamaal bowman with ads on antisemitism,5/31/2024,Politico,8
al jazeera says israeli strike killed another child of gaza bureau chief,1/7/2024,Washington Post,8
"all my life, i’ve watched violence fail the palestinian cause",11/8/2023,Atlantic,8
alleged rape of 12-year-old jewish girl sparks antisemitism outcry in france,6/21/2024,CNN,8
america is lucky that biden’s in charge,10/25/2023,Atlantic,8
america splinters over the israel-hamas war,11/4/2023,Axios,8
america’s caregiving system is in crisis,1/3/2024,New York Times,8
america’s unique problem with vehicle crashes,12/11/2023,New York Times,8
american jews rally in washington to support israel and oppose antisemitism,11/14/2023,New York Times,8
an annual gathering of jewish republicans takes on new urgency,10/26/2023,New York Times,8
an autocratic us ally is accused of smearing an american his lawsuit could air a lot of dirty laundry,4/5/2024,Politico,8
an egg fried rice recipe shows the absurdity of china’s speech limits,12/20/2023,New York Times,8
an unsanctioned coterie of pro-israel quasi-lobbyists has descended on dc,10/22/2023,Politico,8
an unusually tricky campus free-speech fight,11/9/2023,Atlantic,8
"anniversary of oct 7 will see rise in antisemitic activity, adl director warns",10/6/2024,Politico,8
"anonymous campus app sidechat has a hate speech problem, critics say",3/7/2024,USATODAY,8
another ivy league president to face congress over campus antisemitism,3/12/2024,USATODAY,8
anti-arab and antisemitic hate crimes surging in nyc and la,10/31/2023,Axios,8
anti-defamation league accuses pro-palestine student groups of siding with terrorism,10/27/2023,CNN,8
anti-defamation league director: 388 percent increase in antisemitism,11/5/2023,Politico,8
"anti-dei movement expands in politics, business and academics",12/13/2023,Axios,8
anti-israel protests on college campuses drive calls for increased safety,10/26/2023,Politico,8
"anti-jewish, -muslim attacks are rising across the us, colleges say",11/4/2023,USATODAY,8
anti-war protesters dig in as some schools close encampments after reports of antisemitic activity,4/27/2024,AP News,8
anti-zionism isn’t the same as antisemitism here’s the history,1/2/2024,Washington Post,8
antisemitic acts have risen sharply in belgium and france since the israel-hamas war began,1/25/2024,AP News,8
antisemitic ads about doug emhoff target muslim voters in michigan,9/12/2024,New York Times,8
antisemitic and anti-muslim hate speech surges across the internet,11/15/2023,New York Times,8
antisemitic and islamophobic incidents surge in australia,11/6/2023,New York Times,8
"antisemitic graffiti is found sunday at bethesda school, police say",8/12/2024,Washington Post,8
antisemitic hate crimes soar in new york city,11/10/2023,New York Times,8
"antisemitic incidents in germany rose by 320% after hamas attacked israel, a monitoring group says",11/28/2023,AP News,8
antisemitic incidents in us surged 360% after hamas attack: adl,1/10/2024,Axios,8
antisemitic incidents on college campuses spur federal investigation,11/20/2023,USATODAY,8
"antisemitic incidents reach new high in the us, report finds",10/6/2024,New York Times,8
antisemitic incidents surge 337% since start of hamas-israel war: adl,12/11/2023,Axios,8
antisemitic mob storms through russian airport as flight from tel aviv lands,10/30/2023,CNN,8
antisemitic tropes': jewish groups criticize donald trump's comments,4/9/2024,USATODAY,8
antisemitic vandalism rattles jewish communities amid growing tension in the us,11/1/2023,CNN,8
antisemitism accusations against staff pose dilemma for school leaders,5/15/2024,New York Times,8
antisemitism always fails,11/24/2023,Washington Post,8
antisemitism and free speech collide on campuses,12/13/2023,New York Times,8
antisemitism and islamophobia are on the rise amid the war,10/21/2023,New York Times,8
"antisemitism and safety fears surge among us jews, survey finds",2/13/2024,AP News,8
antisemitism and threats directed at officials over storm response,10/8/2024,New York Times,8
"antisemitism at harvard, mit, upenn: college presidents to testify",11/28/2023,USATODAY,8
antisemitism at penn pushes city toward free speech reckoning,12/14/2023,USATODAY,8
antisemitism bill clears house rules panel following partisan feud,4/30/2024,Politico,8
"antisemitism in america is surging mayim bialik, more jews speak out",4/18/2024,USATODAY,8
antisemitism is going too far at colleges university leaders must act,11/9/2023,USATODAY,8
antisemitism is rampant campus protests aren't helping,4/28/2024,USATODAY,8
"antisemitism on campus hearing: harvard, penn, mit heads face backlash",12/6/2023,USATODAY,8
"antisemitism on campus: berkeley, don't bend to violence",3/4/2024,USATODAY,8
"antisemitism on campuses, ivy and beyond",7/21/2024,New York Times,8
"antisemitism on the left needs to be called out, too, mr president",11/2/2023,Washington Post,8
antisemitism on the rise? prosecutors must send protesters a message,6/26/2024,USATODAY,8
"antisemitism policies at public city colleges in new york will be reviewed, the governor says",10/31/2023,AP News,8
"antisemitism runs rampant in philadelphia schools, jewish group alleges in civil rights complaint",7/23/2024,AP News,8
antisemitism surges in us why can't we do better as a nation?,11/19/2023,USATODAY,8
antisemitism vote set to reignite house democrats' divisions,4/28/2024,Axios,8
antisemitism was rising online then elon musk’s x supercharged it,11/19/2023,Washington Post,8
"antisemitism, islamophobia: feds probe cornell, other schools",11/17/2023,USATODAY,8
antisemitism: a guide for the perplexed,12/12/2023,New York Times,8
apple to pause advertising on x after musk backs antisemitic post,11/17/2023,Axios,8
applications for early harvard admissions dip,12/15/2023,New York Times,8
arab muslim student struck in hit-and-run as stanford university investigates spate of hate crime incidents,11/4/2023,CNN,8
"around the world, demonstrations of support, grief, and anger",10/19/2023,Atlantic,8
"as a new generation rises, tension between free speech and inclusivity on college campuses simmers",1/14/2024,AP News,8
"as antisemitism grows, so does its dangers to everyone here’s how you can fight against it",12/12/2023,CNN,8
"as china looks to broker gaza peace, antisemitism surges online",10/28/2023,New York Times,8
"as france reels from alleged rape of a jewish girl, antisemitism comes to fore in election campaign",6/21/2024,AP News,8
"as fury erupts over campus antisemitism, conservatives seize the moment",12/10/2023,New York Times,8
"as harvard president faces pressure to resign, some faculty show support",12/10/2023,New York Times,8
"as israel-hamas war inflames antisemitism, tiktok stars demand action",11/1/2023,USATODAY,8
"as us interfaith ties fray, some keep bonds alive",4/4/2024,USATODAY,8
"at colleges, violence in israel and gaza ignites a war of words",10/11/2023,Washington Post,8
"at harvard, some wonder what it will take to stop the spiral",2/20/2024,New York Times,8
"at penn, tensions may only be growing after magill’s resignation",1/29/2024,New York Times,8
"at penn, vacancies in leadership, and anguish on campus",12/10/2023,New York Times,8
"at university of arkansas, a state law stifles pro-palestinian speakers",11/20/2023,New York Times,8
audit push back before lawmakers,1/3/2024,Politico,8
auschwitz survivor decries rise of the far right and increased antisemitism in germany,1/31/2024,AP News,8
"austin police call west campus stabbing ""bias-motivated""",2/6/2024,Axios,8
australia appoints special envoy to confront a rise in antisemitism across the country,7/9/2024,AP News,8
"australia appoints special envoys as antisemitism, islamophobia rise over gaza war",7/9/2024,CNN,8
basketball coach fired after team shouted ‘antisemitic slurs’ at opponents,1/8/2024,Washington Post,8
behind the curtain: democrats growing divide over the israel-hamas war,11/5/2023,Axios,8
behind the house antisemitism vote,4/29/2024,Politico,8
behind the scenes of the supreme court,12/15/2023,New York Times,8
beware the language that erases reality,10/18/2023,Atlantic,8
biden admin dives into next round of higher education regulations,1/8/2024,Politico,8
"biden admin opens discrimination probes into harvard, nyc department of ed",11/29/2023,Axios,8
biden admin probes harvard after palestinian and muslim students file civil rights complaint,2/7/2024,Axios,8
biden administration to develop first national strategy to counter islamophobia,11/1/2023,Axios,8
biden aides grapple with 2024 outreach as israel-hamas war exposes cracks in coalition,11/5/2023,CNN,8
biden calls ‘surge’ in antisemitism ‘sickening’ during white house hanukkah reception,12/11/2023,AP News,8
biden cautions israel on responding to its own 9/11,10/18/2023,Washington Post,8
biden condemns 'alarming surge of antisemitism' amid columbia chaos,4/22/2024,USATODAY,8
"biden condemns ‘antisemitic protests’ — and absence of palestinian empathy, too",4/22/2024,Politico,8
"biden condemns ""antisemitic"" rally at philadelphia falafel shop",12/4/2023,Axios,8
biden condemns a ‘ferocious surge’ of antisemitism in the united states,5/7/2024,New York Times,8
biden confronts hate at home fed by war abroad,10/19/2023,Washington Post,8
"biden denounces antisemitism on college campuses amid yale, columbia protests",4/22/2024,Washington Post,8
biden doe investigating alleged discrimination at rutgers university,12/12/2023,Politico,8
biden isn’t giving up on bidenomics,12/4/2023,Washington Post,8
biden officials hold lengthy meeting with jewish officials on surge in antisemitism,12/11/2023,CNN,8
biden outlines antisemitism measures before holocaust remembrance speech,5/7/2024,Axios,8
biden says antisemitism has no place in america in somber speech connecting the holocaust to hamas’ attack on israel,5/7/2024,CNN,8
biden speech condemns antisemitism in holocaust remembrance ceremony,5/7/2024,USATODAY,8
biden stays clear of calling for ivy league presidents’ resignations,12/12/2023,Politico,8
biden to address us holocaust memorial ceremony with speech on antisemitism,5/1/2024,Politico,8
biden to speak on antisemitism at a holocaust remembrance next week,5/1/2024,New York Times,8
biden warns of a ‘ferocious’ surge in antisemitism in the us and across the globe,5/7/2024,Politico,8
biden will be guided by his zionism,10/10/2023,Atlantic,8
"biden, democratic leaders condemn protest outside los angeles synagogue as antisemitic",6/24/2024,New York Times,8
"biden, netanyahu differences surface",12/12/2023,USATODAY,8
biden’s 2024 price war,1/10/2024,Politico,8
biden’s antisemitism speech leaves no doubt he’s standing by israel despite tension with netanyahu,5/7/2024,CNN,8
biden's antisemitism task force meets in situation room as college protests roil us,5/2/2024,Axios,8
biden's bay state boost,12/5/2023,Politico,8
biden’s big trade bind,12/8/2023,Politico,8
biden’s holocaust speech highlights antisemitism’s threat to democracy,5/9/2024,Washington Post,8
biden’s jewish liaison: ‘everyone is in a state of grief’,10/13/2023,Politico,8
biden’s new running mate: obamacare,3/20/2024,Politico,8
biden's support for israel may cost him arab american vote in 2024,2/17/2024,USATODAY,8
biden’s test in the middle east,10/14/2023,Atlantic,8
big donors rally around nikki haley,12/6/2023,New York Times,8
bill ackman buys stake in tel aviv stock exchange in ‘vote of confidence’ for israeli economy,1/24/2024,CNN,8
bill ackman’s big bet against university presidents,12/14/2023,Politico,8
bill ackman’s campaign against harvard followed years of resentment,12/12/2023,New York Times,8
bill ackman's new targets: his alma mater and other top universities,12/11/2023,Axios,8
bill defining antisemitism in north carolina signed by governor,7/1/2024,AP News,8
bill to combat antisemitism on campuses prompts backlash from the right,5/2/2024,New York Times,8
bipartisan antisemitism measure causes deep split among house democrats,12/14/2023,Axios,8
"bipartisan bill would create ""antisemitism monitors"" at colleges",4/26/2024,Axios,8
bipartisan short-term pell bill gets a new pay-for,2/26/2024,Politico,8
bloody hands,10/31/2023,Politico,8
bombing kills more than 100 in iran,1/3/2024,New York Times,8
border politics comes to sotu,3/7/2024,Politico,8
boston antisemitic hate crimes hit record high,1/9/2024,Axios,8
both president biden and candidate biden meet xi tomorrow,11/14/2023,Washington Post,8
brooklyn councilwoman charged after openly carrying gun at protest,10/13/2023,New York Times,8
business insider story on harvard antagonist’s wife draws owner’s scrutiny,1/8/2024,Washington Post,8
"cair received an ‘unprecedented’ 1,283 reports of anti-arab and islamophobic bias in the last month, new data shows",11/9/2023,CNN,8
"cair records ""unprecedented"" surge in anti-arab, islamophobic bias in us",11/9/2023,Axios,8
california college campuses convulsed in protest during israel-hamas war: california today,11/7/2023,New York Times,8
california lawmakers ‘pull the fire alarm’ on antisemitism,1/5/2024,Politico,8
"california today: the best, most california movies: california today",2/29/2024,New York Times,8
california’s push for ethnic studies runs into the israel-hamas war,2/15/2024,New York Times,8
calls for a cease-fire—but then what?,10/21/2023,Atlantic,8
"campus antisemitism, free speech and double standards",12/8/2023,New York Times,8
campus antisemitism: house passes measure rebuking college presidents,12/13/2023,USATODAY,8
campus crackdowns have chilling effect on pro-palestinian speech,12/17/2023,New York Times,8
can germany resist the trump disease?,10/25/2023,Atlantic,8
can he condemn the killings without causing more pain?,12/31/2023,New York Times,8
cancel culture cuts both ways,11/8/2023,Atlantic,8
candace owens departs ben shapiro’s website after antisemitic commentary,3/22/2024,Washington Post,8
candidates accuse student protesters o f ‘siding with hamas’,11/8/2023,New York Times,8
candidates use violent rhetoric on israel-gaza war without mentioning humanitarian aid,11/9/2023,Washington Post,8
captivity like 'russian roulette' ex-hostage says,12/11/2023,USATODAY,8
"cardona 'appalled,’ ‘horrified’ at antisemitic incidents on campuses",11/2/2023,Politico,8
"cardona praises dartmouth culture in allowing freedom of expression, keeping students safe",1/10/2024,AP News,8
cease-fire protest halts california legislative session,1/3/2024,Politico,8
ceremony marks start of rebuilding for pittsburgh synagogue targeted in antisemitic mass shooting,6/25/2024,AP News,8
"charles fried, legal scholar who bridged law and ethics, dies at 88",1/26/2024,Washington Post,8
"charles fried, legal scholar who broke with conservatives, dies at 88",1/27/2024,New York Times,8
"charlie kirk, long accused of antisemitism, is set for a prime-time speech",7/15/2024,New York Times,8
child stabbed; antisemitic events: how mideast war fuels us hate,10/20/2023,USATODAY,8
china’s two-faced approach to gaza,11/4/2023,Atlantic,8
christie goes to israel as war rages on with hamas: 'america is here',11/10/2023,USATODAY,8
christie: trump deserves blame for rise in antisemitism,11/26/2023,Politico,8
ciatta really?,12/13/2023,Politico,8
city referendum's word problem,2/26/2024,Politico,8
civil liberties organizations sue columbia over suspension of pro-palestinian groups,3/12/2024,Politico,8
clashes over israel-hamas war shatter students’ sense of safety on us college campuses,11/15/2023,AP News,8
"claudine gay gets show of support from harvard alumni association, faculty",12/11/2023,Axios,8
"claudine gay holds on as harvard president, rebuffing lawmakers",12/12/2023,Politico,8
"claudine gay resigned, who's next? college presidents in crosshairs",1/4/2024,USATODAY,8
claudine gay says critics attacked her in ‘war’ against trusted institutio ns,1/4/2024,Washington Post,8
"claudine gay says she faced death threats, racial slurs before resigning as harvard president",1/3/2024,Axios,8
claudine gay stepped down republicans still aren't satisfied,1/9/2024,USATODAY,8
claudine gay turmoil forces harvard’s secretive ‘corporation’ into spotlight,12/24/2023,New York Times,8
claudine gay was not driven out because she is black,1/5/2024,New York Times,8
"claudine gay, and others, on the meaning of her resignation",1/4/2024,New York Times,8
"claudine gay, first black woman president at harvard, to resign",1/2/2024,Politico,8
co-chair of harvard antisemitism task force resigns,2/26/2024,New York Times,8
co-chair of harvard's newly formed antisemitism task force resigns,2/26/2024,Axios,8
"college campus antisemitism hearing, take 2",4/15/2024,Politico,8
college dorm decorations become a front in the campus free speech wars,3/1/2024,New York Times,8
college presidents face down house republicans over antisemitism response,12/5/2023,Politico,8
college presidents reveal three surprise truths about free speech and antisemitism,12/8/2023,Washington Post,8
college presidents under fire after dodging questions about antisemitism,12/6/2023,New York Times,8
college presidents' skewered testimony raises question: what do they do?,12/13/2023,Axios,8
colleges are lawyering up to avoid becoming the next harvard,4/3/2024,Politico,8
colleges banned groups over antisemitism then new ones formed,11/17/2023,Politico,8
colleges braced for antisemitism and violence it’s happening,10/31/2023,Washington Post,8
colleges grapple with antisemitism concerns,12/11/2023,New York Times,8
colleges under pressure to address antisemitism on campuses,10/30/2023,Politico,8
"colleges under siege over israel, hamas and antisemitism, look to pr giants for help",1/7/2024,Politico,8
columbia deans involved in texts evoking ‘antisemitic tropes’ resign,8/8/2024,Washington Post,8
columbia faces protests after suspending 2 pro-palestinian groups,11/15/2023,New York Times,8
columbia leaders face scrutiny from lawmakers on campus antisemitism,4/17/2024,Washington Post,8
"columbia limited campus protests, so students took to the streets",2/6/2024,New York Times,8
columbia official is accused of plagiarizing dissertation from wikipedia,2/29/2024,New York Times,8
columbia president is next to be grilled about antisemitism by congress,4/16/2024,New York Times,8
columbia president minouche shafik fends off antisemitism inquiry,4/17/2024,USATODAY,8
columbia puts deans on leave after texts evoking ‘antisemitic tropes’,7/8/2024,Washington Post,8
"columbia removes three deans, saying texts touched on ‘antisemitic tropes’",7/8/2024,New York Times,8
"columbia removes three deans, saying texts touched on antisemitic tropes",7/8/2024,New York Times,8
"columbia removes three deans, saying texts touched on antisemitic tropes",7/9/2024,New York Times,8
columbia university postpones a fund-raiser as divisions over war deepen,10/24/2023,New York Times,8
columbia university protests draw bipartisan rebukes from dc over alleged antisemitism,4/22/2024,Axios,8
"columbia, cornell and other colleges face us inquiries over alleged antisemitism and islamophobia",11/17/2023,AP News,8
columbia’s antisemitism task force finds ‘urgent need’ for change,8/30/2024,New York Times,8
columbia’s president rebuts claims she has allowed the university to become a hotbed of antisemitism,4/18/2024,AP News,8
columbia’s president tells congress that action is needed against antisemitism,4/17/2024,New York Times,8
congress expands harvard investigation to include plagiarism allegations against president,12/21/2023,Axios,8
congress grills liberal cities’ school districts over antisemitism,5/8/2024,CNN,8
congress returns to more drama,4/4/2024,Politico,8
connecticut official loses to jewish opponent after antisemitic comments,8/14/2024,New York Times,8
conservative anti-dei activists claim victory in harvard leader’s fall,1/5/2024,Washington Post,8
cornell adds an outside firm,2/1/2024,Politico,8
cornell advises students to avoid campus jewish center after threats,10/30/2023,Washington Post,8
"cornell and columbia among 7 schools under scrutiny for antisemitism, islamophobia",11/17/2023,Politico,8
cornell antisemitism fits ugly pattern of harassment at universities,11/1/2023,USATODAY,8
cornell cancels classes after student is charged with threatening jewish people on campus,11/2/2023,AP News,8
cornell jewish center under guard after online threats to jewish students,10/29/2023,New York Times,8
cornell student charged with making death threats to jewish community,10/31/2023,Washington Post,8
"cornell university antisemitic threats: student arrested, faces charge",11/1/2023,USATODAY,8
cornell university student accused of posting online threats about jewish students appears in court,11/1/2023,AP News,8
cornell university the latest college campus dealing with antisemitism,10/30/2023,USATODAY,8
corporate bosses turn up the heat on university presidents,12/8/2023,New York Times,8
"corrections: dec 23, 2023",12/23/2023,New York Times,8
crimson: harvard president claudine gay to resign,1/2/2024,Axios,8
crisis communicators face blowback after disastrous college hearing,12/22/2023,Politico,8
criticism of harvard’s president is growing some see race as a factor,12/15/2023,Washington Post,8
criticism of israel at berlin film festival stirs antisemitism debate,2/27/2024,New York Times,8
critics protest harvard’s choice to lead antisemitism task force,1/22/2024,New York Times,8
cuban vs musk: entrepreneurs debate dei,1/4/2024,Axios,8
"cyber attack displays ‘islamophobic’ message on uk trains, officials say",9/26/2024,New York Times,8
daily briefing: what americans say about antisemitism,5/3/2024,USATODAY,8
daniel lubetzky and lonnie ali: fighting hate with humanity,12/21/2023,Axios,8
"dc-area schools report more bias incidents against jews, palestinians",11/1/2023,Washington Post,8
dealbook 1/17/2024,1/17/2024,New York Times,8
dealbook 1/18/2024,1/18/2024,New York Times,8
dealbook 1/22/2024,1/22/2024,New York Times,8
dealbook 1/3/2024,1/3/2024,New York Times,8
dealbook 1/5/2024,1/5/2024,New York Times,8
dealbook 1/6/2024,1/8/2024,New York Times,8
dealbook 1/8/2024,1/8/2024,New York Times,8
dealbook 10/12/2023,10/12/2023,New York Times,8
dealbook 10/13/2023,10/13/2023,New York Times,8
dealbook 10/16/2023,10/16/2023,New York Times,8
dealbook 10/18/2023,10/18/2023,New York Times,8
dealbook 10/20/2023,10/20/2023,New York Times,8
dealbook 11/2/2023,11/2/2023,New York Times,8
dealbook 11/6/2023,11/6/2023,New York Times,8
dealbook 12/11/2023,12/11/2023,New York Times,8
dealbook 12/13/2023,12/13/2023,New York Times,8
dealbook 12/2/2023,12/2/2023,New York Times,8
dealbook 12/22/2023,12/22/2023,New York Times,8
dealbook 12/6/2023,12/6/2023,New York Times,8
dealbook 12/8/2023,12/8/2023,New York Times,8
dealbook 2/21/2024,2/21/2024,New York Times,8
dealbook 4/26/2024,4/26/2024,New York Times,8
"dean phillips, bill ackman, a $1 million gift and a website tweak",1/17/2024,New York Times,8
debate over plagiarism allegations against claudine gay adds to pressures at harvard,12/21/2023,New York Times,8
debate over the israel-gaza war has raised tensions – and the stakes – on college campuses,10/19/2023,CNN,8
"debates over words amid war: ‘antisemitism,’ ‘anti-zionism,’ ‘apartheid’",11/24/2023,New York Times,8
defining antisemitism and anti-zionism,12/19/2023,New York Times,8
deliberate threats to jewish student safety',11/21/2023,USATODAY,8
democratic party office in new hampshire hit with antisemitic graffiti,11/16/2023,AP News,8
democrats fume at mike johnson over antisemitism vote,4/30/2024,Axios,8
"democrats press mit, penn and harvard on antisemitism after ""unacceptable"" testimony",12/8/2023,Axios,8
"democrats slam harvard, mit, upenn presidents after stefanik grilling",12/6/2023,Politico,8
democrats turn up the heat on ukraine supplemental,12/5/2023,Washington Post,8
"denmark records highest number of antisemitic incidents since wwii, part of a grim european trend",2/22/2024,AP News,8
desantis and haley tear each other up,1/11/2024,Politico,8
desantis boasts about accomplishments in florida ahead of iowa caucuses,1/10/2024,Politico,8
desantis defends record fighting antisemitism after jewish gop state lawmaker flips endorsement to trump,10/24/2023,CNN,8
desantis dodges on elon musk post,11/20/2023,Politico,8
desantis refuses to condemn elon musk over support of antisemitic post,11/19/2023,USATODAY,8
desantis says he would cancel student visas of hamas sympathizers,10/21/2023,New York Times,8
desantis says us shouldn’t take in palestinian refugees from gaza because they’re ‘all antisemitic’,10/15/2023,AP News,8
"desantis won’t condemn musk for endorsing an antisemitic post ‘i did not see the comment,’ he says",11/19/2023,AP News,8
desantis’ florida friends are bankrolling his campaign,10/16/2023,Politico,8
destruction in gaza,10/25/2023,Atlantic,8
"disdaining haley, trump says she ‘probably’ won’t be his running mate",1/19/2024,New York Times,8
"disney, comcast, lionsgate pull ads from x over antisemitic posts",11/18/2023,Washington Post,8
don’t create more safe spaces on campus,12/13/2023,Politico,8
don’t equate anti-zionism with anti-semitism,11/3/2023,Atlantic,8
"donald trump calls joe biden weak on antisemitism, ignoring his own rhetoric",5/7/2024,AP News,8
donors are latest to punish harvard over response to students’ israel critique,10/17/2023,Washington Post,8
doug emhoff calls trump a ‘known antisemite’ as biden team steps up attacks,5/21/2024,New York Times,8
doug emhoff joins fury at university presidents over antisemitism comments,12/8/2023,Axios,8
